corpus,count,ars,homogeneity,completeness,v_measure
prog,60,0.2867564587354135,0.6772613717714602,0.4475313824661047,0.5389361139781239
other,77,0.3661857892628918,0.8345631982566942,0.5356459992448757,0.6524995439795888
all,81,0.36706595350610544,0.7667608918216889,0.5990695096601927,0.6726209505834091
