id,label
23116845,222
22574673,440
24467679,284
24464802,9
21842957,553
24658200,433
22990928,244
24920902,152
28059242,434
23169420,0
25507393,271
22157762,22
20313214,256
24839147,238
23802974,233
27406691,381
25164908,503
25418304,537
23932395,84
24988755,396
27956818,1
24693716,34
27831446,59
23339039,216
22850856,185
24271216,243
28017319,159
23211002,268
21980695,328
24187443,212
25796947,48
21736656,473
23654577,124
22565755,345
24830051,266
20600509,177
25832068,123
20129354,280
23941705,126
22293770,244
22471037,280
27937903,40
20652104,356
23885974,366
20481345,186
28018594,380
27588929,304
23761525,47
23405045,32
22414775,177
20240539,225
24762967,552
24628650,179
27919310,14
27673819,499
26075161,200
24765228,544
20110272,437
24175635,503
22698674,123
20730754,542
22479283,291
24034240,197
24585300,399
21705439,15
23775138,80
22696067,2
23746232,437
24105706,537
20252400,147
27809005,200
23403413,200
22855850,91
25288161,146
23721240,133
26048519,235
24395555,3
26005947,177
24800024,538
20516751,32
27681308,457
22218533,237
23177090,57
28043705,177
23769175,8
25468732,329
26039468,280
24399205,171
26068563,147
21956298,88
22626594,347
22541247,59
25096837,4
22115349,176
21529596,374
23991981,347
22221339,200
23788913,5
24251247,258
20867472,424
24260294,105
22395124,518
20839743,240
20138571,96
22428339,329
24273358,67
27183430,238
20160180,136
23145415,235
24221005,146
23948356,231
23268841,527
27719994,21
20800780,64
24535410,6
21596238,124
24928629,32
20398382,92
20275005,34
22792537,396
25806052,464
25126809,299
20059159,424
21933267,335
20428679,145
25200939,19
25060042,357
24877049,208
21942553,439
24182257,521
24847993,345
23614099,299
25629571,9
24921694,394
20074920,85
27845902,268
20120535,207
22175288,7
20600000,521
23932571,7
22668925,289
22358976,373
27879152,48
25767518,318
25662867,489
21983150,17
23427683,57
25169283,213
27808888,177
24796869,177
27472990,339
23357961,23
20091182,528
24253253,83
24512823,212
23769182,8
20611191,465
23999404,268
25339373,516
22537792,550
24290335,387
23949049,213
22099093,123
21851406,50
24460158,386
25984745,443
21809725,9
23764082,474
24240280,525
25623714,339
27180637,340
23769327,10
25003903,546
24946816,521
21952349,340
21911076,209
22814137,35
27491209,31
27334690,32
20479620,538
25984210,442
23961973,353
25034169,364
22457819,432
22288422,48
23701501,499
25327189,50
23768241,11
24013368,12
23046711,147
20716890,144
21914533,104
27534909,8
25178609,167
25776315,514
22268644,499
22738806,216
23481576,473
27253567,13
25022289,177
20741947,437
23373245,50
27910653,139
25508603,200
22076973,341
20563186,85
22980563,266
24851195,162
25135701,55
26127921,14
20326334,521
21268798,293
22853813,267
22049229,502
23625964,98
26233099,309
25260182,48
24361262,466
26163019,319
26044326,175
20648078,208
25868369,15
23074083,378
20679680,525
20026920,489
23795684,168
24865396,299
25083547,16
23245180,429
23944867,17
21510752,274
25676898,263
22922292,43
24296786,293
23822035,482
24892088,18
21987747,96
25437121,233
20438586,233
24393223,214
22992806,304
23006634,537
25848591,536
27862167,271
23672472,271
25184654,19
22034582,399
24526506,101
20865189,499
22197935,429
22334190,519
23212562,200
27223895,57
22582253,17
20420880,443
22553122,293
20359025,91
23831378,200
22362696,171
24308853,335
25075195,393
24598531,440
25052961,544
22009957,295
25252044,435
22120969,439
23455176,309
23771752,481
24847389,222
27945413,269
22506532,15
20087624,434
22049597,130
24792810,173
20470520,48
24222443,296
22120509,458
23423845,514
24688391,216
24097370,243
27361712,217
24456112,433
21835800,241
22924745,276
24274282,163
23070169,128
25503474,345
23368410,387
27768855,124
21283646,83
24405198,499
25859814,243
22869988,526
26145328,225
26117108,405
22048013,233
22812038,430
20315658,347
20383995,266
25257768,399
24265518,248
24162985,406
20556216,73
22857200,99
24177259,473
23026419,19
25109920,20
25473265,468
21738118,63
27465193,237
27703667,295
25012560,21
25033798,387
27223396,22
25268466,1
25311355,31
25159068,538
24982359,146
24765352,171
25826685,83
21176200,136
23931403,375
22120355,23
22982028,258
27171000,538
23229101,419
20007755,85
20834653,499
25281868,499
25672642,194
22018871,540
27556125,442
25490392,246
26093665,506
26044623,193
25633846,355
22485681,263
20362122,424
23198453,486
20171729,299
27396810,220
20686269,21
25042159,343
24882082,363
25199866,355
22049365,233
26253440,60
20620695,335
22603915,240
27793787,358
23769331,24
24972103,167
27926220,240
25033522,433
22868137,177
26077083,394
27837718,415
26053815,233
24798923,443
20756975,414
25328301,293
24685665,359
27979844,186
22666377,517
22855603,397
23791514,63
27266560,550
20556111,121
21918710,245
23237991,380
21586983,136
22956859,43
24589965,458
23493254,271
20044734,177
25570269,293
22688180,112
24012139,280
24317183,203
24161419,179
27905535,31
22850978,366
27952575,384
24016877,25
22734066,329
24492760,333
27991504,357
25657226,307
20116291,389
23696200,413
21914783,465
21807045,146
21334825,551
20642912,372
23325196,374
27345407,499
26183737,372
22477278,347
21851190,126
25255160,347
24197326,393
24994134,75
25806782,363
20751838,309
21074082,375
22173957,276
27673338,128
25602293,213
24681027,244
25535578,519
23016062,518
22200988,527
22665406,71
24492063,112
24358995,396
23786533,47
22868724,91
23801351,411
26157751,101
25062038,104
25481535,54
20065733,197
25931705,552
27553016,353
24971779,373
25566301,522
22569291,384
27825511,522
25908207,209
22875008,208
20254350,366
22450325,359
27977014,141
23761390,229
22156806,129
25550335,68
20083565,176
23398823,73
23381106,14
27996482,323
22077453,101
23049411,208
24503486,211
28079261,78
25277170,527
24217350,387
25642023,484
23167368,347
25838883,458
27216002,236
26056039,366
25662452,374
22898810,102
20341383,16
21088309,171
23722487,26
21451237,27
20424445,470
25260691,22
22679625,344
22799975,118
20346849,296
23997284,453
22083006,192
21119231,126
25674816,218
24972468,147
23386545,275
24511460,250
25477323,367
23656989,553
22615131,48
24292851,312
20149417,268
24990662,190
23766881,28
25103612,536
20245338,347
22215437,220
23284664,3
25370182,481
24292055,179
23769008,29
24990276,57
20192695,547
24005904,347
26176397,380
22672051,483
27918412,456
25223461,48
25699061,499
22779540,430
24819052,80
23860401,457
22807822,59
22541394,177
25813723,25
20567764,30
23047041,340
21968174,289
20188896,271
27936514,504
22481612,31
21824230,440
21857524,460
25848409,518
23365929,312
25421304,149
20601309,32
24602261,65
22834884,483
24072931,13
25843831,321
24725927,368
23765195,33
28076607,473
25391428,25
21872684,127
20213726,503
22085468,193
25174323,345
23593809,200
27146550,321
21993216,476
27444815,177
25272201,465
20398203,91
27728247,437
24529519,527
24912128,521
20543814,82
22512990,55
20362234,141
20523148,340
20593842,307
24882357,34
20600557,476
20728937,209
22506747,208
22720993,101
25704534,372
20635286,21
20721335,471
24947606,530
27645501,246
25643830,35
20446658,281
27746424,48
24228562,464
23174932,177
21342117,503
23645995,538
22660599,358
25447498,159
23933407,7
22656778,198
20190959,257
23768464,36
21069492,171
23769000,37
25090435,443
23412568,119
27214111,464
21522767,553
22488301,517
23133611,57
23325849,244
25400841,48
23404089,323
26221940,329
26013489,57
21285207,26
22874223,233
24935109,105
24815134,177
20159454,476
23103834,308
23286261,124
26095126,414
25412189,314
25933551,522
24969549,3
27410875,280
24070293,44
26238494,293
22272581,399
27443067,473
24207493,344
25380249,9
27732240,280
23127537,333
24537629,460
27256440,268
22855654,123
23247698,353
25180702,309
20150761,347
25029750,460
25474873,318
23772086,259
20049951,473
25921367,295
23854553,128
25884417,309
24346648,9
23130836,343
24635226,49
22466781,495
24730641,516
20529781,366
24026909,536
22501097,343
21176978,212
23224543,182
24809728,234
25156209,101
25465752,233
25528806,21
23239045,358
24105083,399
21817497,3
23404221,414
24061916,227
22031277,552
22588880,309
20179153,211
27834051,38
27680553,40
22279042,246
25409347,39
20074989,499
23587201,378
22387542,387
24040737,40
24688449,553
25314228,0
25435948,126
22370783,323
20324506,31
20527323,40
26015182,159
22933647,539
20461522,347
20147408,198
25684054,424
24884751,309
25149205,363
23672378,381
24987946,439
22081032,148
25077146,126
24878861,98
20556160,429
27769012,234
25468012,144
25625319,75
24231462,308
23518757,349
25137927,121
27997521,472
22740458,476
24016565,123
23632786,209
22748758,338
21859624,381
24569632,482
23673848,338
21976748,314
23768020,41
24518228,129
22448208,389
23010264,537
20413858,259
27561406,258
27597224,413
25543304,5
25194356,358
22186358,140
22471455,43
25133974,21
23020208,2
22237598,185
25523281,363
23200207,102
24326773,528
27740046,109
20840036,473
20386413,124
27801831,546
24246314,274
20736329,552
28034960,50
20417623,356
27398006,283
27541489,518
22331594,243
23636112,379
27758472,446
22898895,42
23141451,464
24406167,147
28060300,289
25978967,258
27989792,99
20456674,87
23929516,91
23919263,241
28001757,50
22776813,537
27822088,528
20529243,43
22872201,315
25305146,198
25359912,31
25044247,446
21454257,44
21057911,12
27316760,162
22206547,89
25476996,231
22258505,31
22377967,124
25144372,319
25703756,415
24817182,460
21363925,137
22685916,229
24686423,179
24782978,357
20329023,173
25531058,433
22919854,209
27383117,256
20233233,414
22463909,359
20221091,343
24337503,333
22862346,472
23403650,553
25946647,356
23264614,430
23113710,179
23023936,347
22226590,268
23658234,539
20675501,46
22329726,405
25073728,283
21280426,552
20369231,139
23058116,353
20095253,345
23769660,45
24964360,225
22031869,31
22436254,67
20005722,225
26189638,17
25779042,429
24758047,347
25972682,183
23163465,46
23270383,139
23015676,303
25811583,17
25283979,83
20527979,552
21917015,245
23546212,266
27511609,303
20771809,506
24586504,379
20351699,321
27689422,6
25173898,241
20480274,271
20272025,50
23882455,275
22472593,315
24558881,371
24929877,179
23591586,507
25183316,139
23501554,238
22742791,457
20275743,212
27473642,343
26247788,102
25047153,397
28039799,339
25725464,44
27808985,200
22350008,345
24911884,38
24825521,299
22107181,314
23075281,434
20445204,394
24921973,526
23490323,177
23286998,364
20685595,425
20838234,47
20143239,147
24702228,359
22297584,104
22639035,48
20364656,443
20033406,322
24710527,439
25344641,430
21268843,190
22378596,283
23115254,200
20553748,73
24709417,437
22775424,430
26133526,32
21410122,386
22953275,9
22342106,65
27259862,530
22209964,83
24510956,292
23823889,433
24117760,225
20401212,303
22382560,427
27144915,222
21407458,386
24882940,49
23460707,250
24200306,50
27157795,457
23617860,304
24436099,393
26260849,427
27907662,179
23232931,374
23555065,119
20249200,266
27745746,333
20529837,304
27456827,269
24266287,214
22212290,179
23071146,104
20518389,435
27710685,370
20424617,473
20650335,489
23768173,51
22129769,538
24934220,71
20403705,366
23722781,268
22342845,112
23780131,218
27804530,370
23513079,333
25182595,465
22492442,73
27700796,83
27557570,503
20873207,536
25431815,521
20848574,389
24605199,336
26130798,268
20187764,493
23814351,3
23767745,52
23768691,53
27259562,46
28046585,266
20315531,65
26148043,250
23494606,54
23325856,519
25728589,456
22995015,109
27817279,193
25810971,269
20441641,528
25449498,146
23171162,350
22344551,483
23536654,71
27748134,268
27467469,538
27504451,394
27606595,80
20720159,307
27179143,96
24147550,109
25097943,246
23669040,492
24158907,214
24738600,446
20050248,430
23820347,464
21584153,124
20379622,437
24070739,16
27518478,389
20717527,56
23322889,439
24994225,73
25871893,381
25740332,440
21493784,200
20603545,83
21177420,321
27416704,477
24541461,25
25184093,80
24836986,378
22636247,380
27165430,258
20564868,197
20825415,96
23478926,260
20367093,276
27887584,59
21968481,237
24811149,67
25451630,119
23122008,435
27758531,55
23208429,299
20883512,56
21470337,328
27256362,546
24627532,430
21042547,57
27452424,376
28069077,149
25412200,483
25744225,526
27781653,112
23010681,96
25716349,321
24176723,366
24802713,387
24504651,126
24603058,185
20381441,250
22374434,521
24787020,21
24395490,193
25805382,517
22880104,525
22530467,499
22506254,126
24046400,323
24839008,149
20509770,126
23555022,119
24468854,74
23681916,340
24475069,109
23420725,319
21892006,233
20683625,476
20074911,79
20249014,233
20220808,413
24038366,363
21029355,343
27283954,438
24170575,465
27682699,220
20862051,18
27709275,525
24527458,272
27335159,433
20372412,353
24794730,104
20014879,338
23587825,312
22544666,168
27206973,540
27889774,123
20700664,159
25515668,283
20737325,182
23430473,94
21943229,473
24991813,353
22536304,313
24058112,424
27650249,49
25499153,338
22934596,27
25061809,136
23479278,58
27175705,456
24202156,119
24128851,552
20074449,315
20072382,146
23015351,109
20352492,59
23685136,244
28063622,65
23302703,258
23743040,177
23848204,60
22948752,394
27501760,435
26184742,38
21503305,358
23765659,61
22994320,339
23636098,457
23764721,62
24105947,540
25445868,268
22880860,102
27942147,49
23400825,31
23203930,289
27823288,289
23994094,309
25686077,457
26126960,484
20112087,65
27293952,482
25869499,34
21406060,267
25445214,538
22018067,530
26060496,553
25427788,521
22920230,442
23496207,26
20497156,502
22805648,370
23671861,424
27685546,186
22962585,501
21312663,159
22463414,31
27598226,486
25270241,159
21503323,453
24081437,379
23961632,287
22032340,412
27182110,437
23497301,364
23303177,439
26083687,537
20005959,212
20074973,238
21835322,149
22170451,63
25189681,169
24032827,275
24830597,64
26110412,283
24532116,140
23217413,109
25785555,472
20018581,238
21968884,38
21693651,293
27907967,197
23724236,476
22766766,268
22689672,472
27171241,516
21927885,9
24496187,304
25957878,553
24376954,171
25710704,186
25828347,115
23787782,32
20395468,343
21841325,209
23716701,464
26039467,436
22044921,519
24152583,65
22232823,74
23767487,66
24505963,186
21939368,365
23080809,399
22298269,212
27763701,405
23172729,347
25440540,123
27957867,67
22031785,81
22416954,80
25257029,399
24576049,179
25604309,492
21609789,472
22488216,235
25551959,477
21494261,83
28079511,299
25011958,536
24483840,220
27567421,68
20753351,321
25774490,309
25816492,519
20264111,19
22942935,69
21872444,172
23766818,70
23348203,105
25574689,139
26037765,89
23392777,126
23370351,26
23410562,432
22890669,465
23367247,291
26075925,237
27210471,372
22139402,159
23606635,117
27855571,63
27950881,42
28051734,361
24440615,293
22082795,552
27667352,501
25464868,119
21813933,146
27749339,340
24815459,57
27723608,17
23404246,246
25644225,341
22864395,1
21758562,248
26192490,506
25569287,71
23202085,530
21427465,169
27293789,314
22069169,72
22061117,521
24927272,291
24872322,435
26236619,220
21022004,443
22152816,209
20482597,347
23114002,374
28051847,506
24252284,358
23056061,538
27381671,280
24014904,389
23581199,237
22873346,503
27889503,73
20033244,468
22308841,148
24701699,289
23945544,234
23882122,386
27823594,149
20635236,80
22304719,296
23421415,499
23619335,399
24264789,321
23759989,506
26074035,74
20073669,159
25341034,185
25128211,149
24180387,14
25760085,321
27344526,133
25741438,146
24278846,14
23807768,473
23014822,165
25233812,442
22156984,83
24782979,357
24346847,171
24301104,121
23476079,234
25003743,287
22006529,50
25754836,419
21281433,18
27263236,365
20361220,289
27192856,241
25838622,458
24734094,339
23790133,476
24908279,293
27561259,366
22083306,366
20175771,85
26226743,75
25314860,179
20048746,363
28079346,479
27687652,329
23258176,211
27140610,358
24522837,340
23462304,32
25235554,301
22855682,186
23535621,74
23377080,456
25772058,203
27392712,159
23260928,544
22522830,367
20869240,525
22870234,200
20568396,1
27139902,395
21374606,259
22296537,516
25923765,390
20051802,169
22056653,3
25302630,456
26204567,57
26190003,21
23402575,44
25292515,458
24155073,217
24348242,552
23016022,506
23268472,429
23190180,439
27855473,378
22530826,185
23254873,347
24201515,433
27187379,169
27296534,287
24940306,549
25091882,379
23775527,25
27260672,146
21926256,88
26165725,492
27957757,329
22989681,129
20248814,474
23428310,200
25511325,506
25768597,386
20693111,197
21912623,343
26125686,438
27152527,339
25807456,44
22994184,289
27413805,283
22694112,372
24454682,512
23617178,217
24180961,414
22484154,367
25981475,117
23578230,506
27640702,389
24178637,18
23023720,389
24124680,419
27272729,31
27154919,447
24821790,283
22503224,309
23230292,50
26127353,381
24533229,464
20322675,146
24439719,214
22796439,286
22086968,400
24738972,82
24705788,424
24324559,235
25358536,76
25711722,499
22832031,446
20342650,49
22591503,214
24147345,456
23202590,333
25658443,208
20490299,358
27855434,522
25691075,3
23190123,518
20004693,245
22864428,537
22071706,460
23377469,443
25511046,9
23991296,241
20169041,347
21020823,77
20717343,430
23471072,237
22981284,78
23229803,43
22287660,552
22068383,397
20874626,503
22213122,117
25024695,446
21842558,343
25024696,446
23469891,91
21293867,3
25196485,343
21812109,207
23985956,389
25534703,65
22793892,516
22406187,421
27823236,25
26145129,283
20533051,167
24366549,442
27989970,456
25622473,278
20470381,371
24602295,303
23949057,358
25368122,530
24160387,380
20478054,79
22577031,473
23136989,185
22172839,378
27520035,237
24315325,74
25025331,80
25316627,347
24536244,443
23049733,412
22943441,81
25138222,31
24587595,329
28079691,117
23944312,474
25801066,49
22610373,138
22611771,366
24535852,117
21020335,146
22130275,524
23548263,275
