id,label
25454703,616
20160895,803
21854407,827
21615034,348
24896649,0
23603146,700
24852480,539
27674225,829
24962037,733
23648180,613
22513481,659
23386557,261
20911642,629
25066366,668
25058299,618
21895519,829
23304448,308
24050819,435
24484681,654
23769133,838
24319565,408
22808432,170
24839908,606
25526020,358
22046820,173
24953591,112
27518648,524
26077876,786
23967617,403
21183843,767
23043289,487
25598701,245
22236951,727
25680714,393
23049225,619
20579644,646
24104248,150
20847679,245
22026730,789
25116667,697
23941850,705
23857608,39
25135810,381
23269543,809
25202999,437
21022472,130
25117625,673
25312807,102
22979271,229
23407944,659
23546358,634
21580998,659
25738424,723
24832905,438
25589718,418
24902076,327
26238342,204
22821937,688
25791196,134
23577855,438
20018349,229
27514569,833
24204789,65
20234512,775
27969456,75
23623988,652
20728324,153
24874814,273
25677810,571
21112813,606
27233657,668
22109094,317
24269320,541
21446947,551
27836873,654
22046393,325
23459143,387
22642554,69
23577284,122
21509882,575
24638968,186
25353445,349
24370232,735
23928849,202
23122634,346
25888185,709
27335965,780
27384205,610
25025544,178
23714207,814
25321622,478
22056981,500
22631742,700
20741393,273
23619427,8
22856527,570
24278058,233
25236915,134
23910198,466
25806835,377
21848491,549
20554753,435
24496508,679
23403833,828
25128708,743
23984169,157
22726594,372
27891481,873
22231185,6
27287294,401
22050866,371
26032030,647
27856492,84
22521291,871
20465100,261
24808046,170
20328050,697
20300603,567
22704387,1
20237814,278
23618767,327
22412776,16
26241104,204
20047712,2
25378161,396
27956949,173
27584354,641
23174642,516
24875624,342
22480458,636
24273530,390
25647639,498
27949495,553
22810616,432
27247843,92
23874261,3
25176538,150
24241765,58
27264257,610
27907236,486
21844794,374
27364055,179
27138405,4
25574723,87
22412646,881
22691077,837
23667282,852
24232035,828
21135792,477
28058959,198
24982508,89
24311793,5
25537951,728
24996911,31
25154381,25
24723461,256
22651206,761
22770259,575
24645011,229
27974677,830
23363398,396
21864095,746
27838804,852
27290236,754
27462069,405
24692071,583
26153222,19
24708108,429
22475122,625
25577200,811
22199273,112
21984154,556
20728708,851
22099257,500
24963332,440
21089580,229
24857259,512
27363797,762
27571402,840
25340077,653
23243720,504
22209559,644
25822020,753
20043300,252
26235163,194
23323218,623
23754493,840
27937671,543
23257037,6
22201898,618
24227118,7
22485150,494
26256747,757
22904086,237
22381703,590
24639700,348
27427165,252
23430449,424
22878642,8
25567141,289
