id,label_true,aff_d300_euclidean,title,text
23719798,1,461,Программист,"Программист Обязанности:  Сопровождение конфигурации УПП, ЗиУП на платформе 1С: Предприятие 8.2  Требования:  Высшее образование, базовые знания конфигураций УПП и ЗиУП, знание предметных областей: бухгалтерский учет, налоговый и складской учет, кадровый учет и расчет заработной платы  Условия:  Трудоустройство в соответствии с ТК РФ уровень заработной платы определяется по результатам собеседования "
22421128,1,461,Программист 1С 8,"Программист 1С 8 Обязанности:   - Разработка программного обеспечения на платформе 1С 8.3 - Работа с конфигурациями КА, БП, ЗУП, Розница. - Тестирование, внедрение, техническая поддержка - Участие в проектах по автоматизации оперативного и управленческого учета   Требования:   Высшее образование - Опыт работы программистом 1С 8 от 3-х лет - Свободное программирование на платформе 1С 8.3 - Знание языка программирования 1С Предприятие 8 на уровне специалиста. - Знание языка запросов 1С Предприятие 8. - Опыт разработки на 1С Предприятие 8.3 в режиме управляемого приложения - Умение работать с обычными и управляемыми формами. - понимание клиент-серверной архитектуры. - Знание технологий обмена данными (XML, OLE, COM, Конвертация данных, РИБ). - Владение конфигурациями КА, БП, ЗУП, Розница, приветствуется знание конфигурации БИТ.ФИНАНС - Способность к решению нестандартных задач в области автоматизации - Личные качества: системное мышление, способность работать в условиях многозадачности - Приветствуется наличие сертификатов 1С   Условия:  Комфортабельный офис в шаговой доступности от м. &quot;Тушинская&quot;; Парковка рядом с офисом; Отпуск 31 календарный день; График пн-пт, с 09,00 до 18,00. "
26140521,1,461,Программист 1С,"Программист 1С Обязанности:  Программирование на встроенном языке 1С 8.3, написание методической документации, обучение и консультирование пользователей.  Требования:  Владение конфигурированием на уровне 1С: Специалист. Стаж программирования не менее 5 лет; Умение как адаптировать типовые конфигурации под требования ведения учета в компании, так и написание собственных конфигураций с нуля; Уверенное написание отчетов на «Система Компоновке Данных»; Наличие навыков разработки web-сервисов, настройки обменов данными на базе 1С: «Конвертация»; Знание типовых конфигураций 1С: «Бухгалтерия Предприятия 3.0», 1С: «Управление производственным предприятием 1.3», 1С: «Управление Торговлей 10.3». Готовность браться за интересные проекты Высшее образование; Коммуникабельность  Условия:  Стабильная, крупная компания; График работы с 8.00 до17.00; Оформление по трудовому законодательству; Полный социальный пакет; Профессиональный, карьерный рост; Компенсация ГСМ. Дружный, не конфликтный коллектив Кофе, сай в любом количестве Комфортный офис на ул. А.Кутуя Собственная парковка Свободный стиль одежды "
21422744,1,461,Программист 1С,"Программист 1С Обязанности:  Сопровождение, доработка, обновление, разработка и модификация типовых и нетиповых конфигураций на платформах 1С версии 7.7-8.3. Работа в проектной команде, участие во внедрениях. Обучение и повышение квалификации. Аттестация на сертификат 1С.  Требования:  Профессиональный опыт программирования на версии 7.7 - 8.3. Знание основ бухгалтерского, управленческого и налогового учета. Сертификаты аттестации от 1С. Готовность к переработкам. Личные качества: самообучаемость, коммуникабельность, самостоятельность, ответственность, способность работать в команде, стрессоустойчивость.  Условия:  Премиально-окладная система оплаты труда. Полный рабочий день. "
23642011,1,461,Программист 1C,"Программист 1C Обязанности : Программирование в компонентах 1С: оперативный учет, бухгалтерский учет, расчет; Адаптация компонентов 1С под особенности бизнес-процессов организации; Создание в 1С внешних компонентов, внешних отчетов и обработок, работа с прямыми запросами T-SQL; Оценка трудоемкости, сроков выполнения работ.   Требования: Высшее техническое (экономическое) образование Опыт работы в должности программиста 1С от 2-х лет;Опыт программирования на встроенном языке 1С 8.2, 8.3;Знание механизмов OLE–Automation, XML– обмена, T-SQL - обмена;Умение разбираться в чужом коде;Знание основ бухгалтерского учета, кадрового учета и расчета ЗП. Желательно:Опыт работы с УПП (РАУЗ) и управляемым интерфейсом   Условия:  Территориально м. Дмитровская, в шаговой доступности, Оформление по ТК, график работы с 9.00.до 18.00 или с 10.00. - 19.00. Заработная плата по результатам собеседования.  "
24364572,1,461,Программист 1С,"Программист 1С Обязанности: • Составление Технического задания на разработку • Разработка программного обеспечения на платформе 1С 8.3 • Работа с конфигурациями УТ, БП, ЗУП • Тестирование и внедрение • Участие в масштабных проектах по автоматизации оперативного и управленческого учета • Участие в проектах интеграции ПО 1С с ПО других разработчиков   Требования: Обязательно: • Знание типовой конфигурации 1С: ЗУП 3.0, Бухгалтерия 3.0, УТ 10.3. • Опыт работы программистом 1С 8.2, 8.3 в производственной компании от 3-х лет • Свободное программирование на платформе 1С 8.2. 8.3 (отличное знание встроенного языка 1С:8) • Знание основ бухгалтерского учета, основ расчета заработной платы, основ учета на производстве, складского учета • Владение основными типовыми конфигурациями • Способность к решению нестандартных задач в области автоматизации • Высшее образование • Личные качества: системное мышление, способность к работе в условиях многозадачности инициативность, ответственность, аккуратность, стрессоустойчивость Желательно: • Знание механизмов OLE–Automation, XML– обмена, T-SQL - обмена • Опыт разработки обменов данными • Умение разбираться в чужом коде   Условия: Место работы: 10 минут общественным транспортом от м.Щёлковская • Работа в стабильной производственной компании. • Социальный пакет согласно ТК РФ. • График работы: 5/2 с 09:30 - до 18:00 ч. • Заработная плата обсуждается, зависит от профессиональных компетенций. Заработная плата выплачивается 2 раза в месяц строго в установленные сроки. Бонусы за реализованные проекты. • Бесплатное питание в столовой офиса;100%-ная оплата больничного листа; компенсация затрат сотрудников на обучение. • Комфортная, доброжелательная рабочая атмосфера; корпоративные традиции и праздники, • Полный рабочий день • На территории работодателя  "
24393582,1,461,Программист 1C,"Программист 1C Функционал:  Автоматизация бизнес-процессов. Сбор и анализ требований к ИС. Реализация требований- разработка новых и доработка существующих механизмов в среде 1С: 8. Поддержка пользователей. Обновление конфигураций.  Требования:  Готовность переезда в город Новосибирск. Высшее образование. Приветствуется наличие сертификатов по продуктам 1С. Опыт программирования от 1-3 лет в среде 1С: 8. Опыт работы с 1С: УПП не менее 1 года. Базовые знания бухгалтерского и налогового учета, хорошее знание типового функционала 1С: УПП. Знание конвертации данных. Личные качества: системность, аналитичность, исполнительность.  Условия:  Официальное трудоустройство в штат компании. Полный социальный пакет. Возможности профессионального развития, корпоративное обучение. Работа на крупном, стабильном производственном предприятии. Дружная, динамично развивающая команда профессионалов. График работы: пятидневная рабочая неделя, с 8:00 до 17:00. Рабочее место в городе Новосибирск. "
20280234,1,461,Программист 1С,"Программист 1С Обязанности:  Программирование (доработка не типовой конфигурации) 1С 7.7; Устранение ошибок в уже существующих разработках; Взаимодействие с сотрудниками в рамках решения поставленных задач; Обеспечение всего комплекса работ: от составления ТЗ по требованиям руководителей подразделений до самостоятельной реализации, обучения и поддержки пользователей; Администрирование 1С.  Требования:  Высшее техническое образование; Опыт работы программистом 1С 7.7 от 3 лет; Свободное программирование на платформе 1С 7.7 (отличное знание встроенного языка 1С:7.7); Знание языка запросов SQL;  Условия:  Оформление по ТК РФ. Стабильная заработная плата; Возможность профессионального и карьерного роста; График 5/2, с 8.00 до 17.00. "
20844108,1,461,Инженер - программист 1С,"Инженер - программист 1С Обязанности:  Управление и постановка задач программистам 1С; Изменение и поддержка базы 1С (конфигурирование); Работа с пользователями.  Требования:  Высшее образование (профильное); Знание типовой 1С: УПП; 1С: ЗУП; Знание программирования 1С 8.х; Основы SQL; Исполнительность, аккуратность, ответственность.  Условия:  Работа в центре города; Официальное трудоустройство по ТК РФ; График работы: 5/2 с 8.00 до 16.30; Полный соц. пакет. Официальная заработная плата. "
21798206,1,461,Программист-разработчик 1С,"Программист-разработчик 1С Должностные обязанности: • Составление технического задания на разработку • Разработка программного обеспечения на платформе 1С 8.3 • Работа с конфигурациями УТ, УПП, БП, ЗУП, ERP • Тестирование и внедрение Примечание: • Участие в масштабных проектах по автоматизации оперативного и управленческого учета • Участие в проектах интеграции ПО 1С с ПО других разработчиков Требования: • Высшее образование • Опыт работы программистом 1С 8.2, 8.3 от 3-х лет • Свободное программирование на платформе 1С 8.2. 8.3 (отличное знание встроенного языка 1С: 8) • Опыт разработки обменов данными • Владение основными типовыми конфигурациями • Умение разбираться в чужом коде • Способность к решению нестандартных задач в области автоматизации • Личные качества: системное мышление, способность к работе в условиях многозадачности инициативность, ответственность, аккуратность, стрессоустойчивость Условия: • Работа в стабильной компании. • Социальные гарантии согласно ТК РК. • График работы: 5/2 с 9:00 до 18:00. • Заработная плата обсуждается, зависит от профессиональных компетенций • Комфортная, доброжелательная рабочая атмосфера; корпоративные традиции и праздники, коллективные мотивационные программы. • Полный рабочий день на территории работодателя"
25778427,1,461,Программист 1C 8,"Программист 1C 8 Обязанности:   Разработка и модернизация ПО на платформе 1С:Предприятие 8 (постановка задачи от заказчика).    Требования:  Опыт программирования в среде 1С:Предприятие 8 и проектирования ПО 1С. Необходимо понимание основ бухгалтерского, управленческого, кадрового учета, а также знание основы расчета заработной платы. Базовые знания основных типовых конфигураций. Образование желательно высшее техническое или математическое; Личные качества:  внимательность; аккуратность; хорошая обучаемость.      Условия:  Работа на территории заказчика (10%) и в офисе (90%); Режим работы с 9-00 до 18-00 (либо в режиме работы заказчика); Испытательный срок - 1 месяц; Оформление согласно ТК РФ;    Предварительно необходимо отправить свое резюме Соискатели приглашаются на собеседование ТОЛЬКО после ознакомления с резюме."
23482971,1,461,Программист 1С УПП 1.3,"Программист 1С УПП 1.3 Обязанности:  Разработка, поддержка и сопровождение типовой конфигурации УПП 1,3 Своевременное отражение законодательных изменений в УПП  Требования:  Отличное знание архитектуры и функциональных возможностей УПП1,3 Знание основ бухгалтерского, налогового, управленческого учета Опыт работы с УПП от 2-ух лет Умение быстро разбираться в чужом коде Ответственность, исполнительность, умение работать в команде  Условия:  зарплата по результатам собеседования (готовы рассматривать ожидания кандидатов) полный рабочий день местонахождение рядом со станцией м. Тимирязевская конкурентоспособный соцпакет (хорошо решены вопросы медицинского обслуживания (страхования), оплаты отпусков, питания, проезда и др ) работа в профессиональном коллективе, создающем современные и востребованные на рынке решения "
20204117,1,461,Программист 1С,"Программист 1С Обязанности:  Конфигурация 1С Управление Производственным Предприятием 8.2. и 8.3. Оптимизация складских остатков материалов Планирование производства Формирование маршрутов Автоматизация процесса производства Перенос первичных документов в бухгалтерскую базу из УПП Консультирование пользователей  Требования:  Стаж работы от 5 лет Знание предметной области по направлениям бухгалтерский учет, кадровый учет, расчет зарплаты в 1С Знание встроенного языка программирования 1С Знание платформы программирования 1С 8.2 и 8.3  Условия:  Оформление по ТК Пятидневная рабочая неделя Рабочий день с 8 до 18.00 Бесплатные обеды в офисе Место работы п.Новый г.Красногорск (20 мин транспортом от метро Тушинская) "
22262195,1,461,Программист 1С,"Программист 1С Обязанности:  Сопровождение программ 1С 8.1-8.3 конфигурации УТ, КА, ЗУП 2.5, БП 3.0. Доработка функционала в 1С. Мониторинг производительности БД 1С. Регламентное обслуживание БД 1С.    Требования:  Высшее техническое образование. Опыт работы от 2-3 года в должности программиста 1С. Знание типовых конфигураций 1С БП, 1С УТ, 1С КА. на уровне разработчика. Умение разбираться в чужом коде Знание принципов работы MS SQL    Личные качества:  Сочетание ответственности и исполнительности Стремление к постоянному обучению    Преимущества:  Приветствуется наличие сертификатов 1С: Профессионал и 1С: Специалист. Приветствуются знание других языков программирования.    Условия:  Современный, просторный офис. Молодой и дружный коллектив. Перспектива карьерного роста. Оформление по ТК РФ. Своевременная заработная плата + премии. 5-ти дневная рабочая неделя, с 9 - 18 ч., отпуск 28 дней в год. Место работы: ул. Индустриальное шоссе (район рынок &quot;Радуга&quot;). "
23522499,1,461,Программист 1С 8.3 (управляемые формы),"Программист 1С 8.3 (управляемые формы) Обязанности:  участие в доработке и разработке конфигураций, отчетов и обработок.  Требования:  профессиональные знания и навыки программирования в среде 1С, 8,2/3; опыт работы с конфигурациями ЗУП, Бухучет, Комплексная автоматизация; знание основ экономики производственных предприятий (бухучет, финансы, планирование, производство, зарплата); желательно наличие сертификатов 1С:Специалист или 1С:Профессионал.  Условия:  возможна разовая работа, работа по гибкому графику, удаленно, не в штате; оплата труда в соответствии с договоренностью; стимулирование результатов разработки и внедрения программ; доброжелательный коллектив; социальный пакет; удобное местоположение офиса - рядом с метро &quot;Пролетарская&quot;. "
22010787,1,461,Программист 1C,"Программист 1C Обязанности: • Разработка на платформе 1С:Предприятие 8 на основании тех. задания• Проектные работы по внедрению типовых конфигураций• Планирование, оценка времени работы над задачамиТребования: • Опыт программирования на платформе 1С:Предприятие 8• Знание управляемых форм• Знание СКД• Знание принципов учета типовых конфигураций (БП, УТ, УНФ)Условия: • 5-ти дневный рабочий день, с 9.00 до 18.00• Оформление по ТК, полный соц.пакет"
24968884,1,461,Ведущий инженер-программист 1С,"Ведущий инженер-программист 1С Обязанности:  Сопровождение и доработка конфигурации 1С: Управления производственным предприятием Сопровождение и доработка конфигурации 1С: Логистика (конфигурация глубокого изменения) Сопровождение и доработка конфигурации 1С: Зарплата и управление персоналом. Сопровождение пользователей на платформе 1С  Требования:  Опытный разработчик на платформе 1C 8.2. 8.3. Образование высшее, профильное. Опыт работы не менее 3-х лет в аналогичной должности, желательно на производственном предприятии Целеустремленность, стрессоустойчивость, коммуникабельность Знание бухгалтерского и налогового учета Аналитический склад ума, креативность, терпимость к пользователям  Условия:  Официальное трудоустройство по ТК РФ Соц.пакет. Своевременная заработная плата 2 раза в месяц Сложность поставленных задач Возможность получения новых навыков ЗАРАБОТНАЯ ПЛАТА ПО ИТОГАМ СОБЕСЕДОВАНИЯ "
22909176,1,461,Ведущий программист,"Ведущий программист Обязанности:  Разработка и внедрение в 1С 8.2., проведение предпроектных обследований, постановка технических заданий и их выполнение, разработка бизнес процессов. Создание и доработка документов, отчетов, обработок Доработка конфигурации 1С 8.2 по требованию под нужды предприятия в соответствии с разработанными бизнес-процессами Направление бухгалтерия и зарплата управление персоналом.  Требования:  Высшее образование. Опыт работы не менее 4 лет в области сопровождения систем на 1 С 8 версии. Знание технического английского языка. Знание 1С ЗУП 3.1 Приветствуются наличие сертификатов 1С, знания особенностей бухгалтерского учета в 1С. Приветствуется опыт работы в компании, занимающейся внедрением 1С. Личностные качества: Организованность. Ответственность. Оперативность в принятии решений.  Условия:  Место работы:ООО &quot;Птицефабрика &quot;Вараксино&quot;, с. Октябрьский, Завьяловский район, УР. График работы 5/2 с 08.00 до 17.00; Официальная заработная плата; Официальное трудоустройство; Льготы на продукцию; ДМС; Возможность обучения и профессиональное развитие "
27734772,1,688,Ведущий программист/программист 1С,"Ведущий программист/программист 1С Обязанности:  Участие в проектных работах (1С: УПП, 1С:ERP в ролях ведущего программиста/руководителя проекта). Проекты по России/ближнее зарубежье. Возможны выезды. Сопровождение программ на базе 1С 8 (Бухгалтерия 3.0, ЗУП 3.0, Управление торговлей 10.3/11.2, Комплексная Автоматизация 2.0). Доработка и изменение типовых конфигураций под новый функционал, программирование на платформе -1С:Предприятие 8. Модификация и обновление существующих документов, отчетов, обработок, бухгалтерского, налогового, оперативного и управленческого учета.  Требования:  Опыт программирования в системе 1С (от 3х лет) Опыт работы с конвертацией данных Опыт работы с программными продуктами 1С 8 (1С: УПП, 1С: ERP, Бухгалтерия 3.0, ЗУП 3.0, Управление торговлей 10.3/11.2). Опыт внедрения программного продукта 1С на предприятиях Умение программировать на платформе 1С:Предприятие 8.х Умение разбираться в написанном коде, понимать проблему и решать ее Наличие навыков оценки трудозатрат по задаче и способностей по ее &quot;донесению&quot; до клиента. Наличие сертификатов 1С: Профессионал, 1С: Специалист (платформа или прикладные решения) Опыт управления проектами будет плюсом    Условия:  Почасовка, в случае невыполнения плана защитный оклад Стартовый оклад и ставка определяются по результатам собеседования с кандидатом. Загрузка не менее 90 (возможно до 120 - 140) часов в месяц Оформление в соответствии с ТК. График работы 5/2, 8 часовой рабочий день; Работа в офисе; Доброжелательный коллектив; Бесплатное корпоративное обучение; Корпоративные праздники и поездки. "
