id,label
21984208,38
22946676,36
23774457,38
25307959,38
24154722,36
24878861,38
22232902,26
25949674,38
23990981,8
28073779,38
20353296,0
25188335,28
24613165,8
26191273,8
24297562,38
23496245,5
20052199,38
25855557,38
25799271,10
23495902,38
24186180,28
20290594,10
23769694,10
23482701,31
25650338,38
23416511,38
22451565,38
23016935,18
25874554,36
23691581,36
25220673,18
26046421,36
20348525,36
24953440,38
27186185,26
20606132,28
21520200,38
23221809,38
23700293,36
20520074,9
25496777,38
23414997,38
23041390,28
23284644,5
22337405,38
23834056,8
22487134,38
24122712,28
25939033,8
24406632,38
21937396,8
20466536,36
23054666,38
24578286,28
23281420,5
23005984,10
25091772,38
20431248,38
27453517,38
20616548,38
23271631,38
25972728,26
23990325,18
27909084,38
20564668,28
21573967,36
23801167,36
27295346,40
25447354,36
24850654,38
22792460,36
24979469,36
26060041,36
22560115,36
24744265,38
24977817,36
25117820,38
28031596,5
22348666,10
20181999,36
24686217,36
27543056,38
23987096,38
22343066,38
22954468,38
21402499,28
22421831,38
24635532,38
22632021,36
21332575,10
25023649,0
28047174,38
23089614,38
23741142,36
24959093,38
23550417,36
24075576,8
25081297,36
22181374,38
21996404,28
27663119,36
25699703,36
21944150,38
23297620,38
27278445,38
25055693,36
23090656,36
22236651,36
20835014,38
27996870,36
21436522,36
20635762,36
23185870,38
24811624,36
25055880,18
25098726,36
27302041,38
24790701,38
20785025,38
20499781,38
28054147,26
24053420,5
25306581,38
23074373,38
24058030,36
24133632,8
24284229,38
27719474,28
24070832,36
25130702,5
22713380,38
25786481,38
20485824,38
24025695,28
21694914,18
23020263,38
21957145,36
23102109,36
27580770,28
20041547,36
27734862,18
22094707,5
23587780,5
24200340,18
23891793,38
20567734,41
26041625,38
23430475,8
23048038,38
21881144,28
23193965,10
25788144,38
22556755,38
20218676,8
26126195,38
24920271,38
24800200,38
20144693,36
20465059,38
23310597,38
25960077,36
26058010,38
24533329,8
23310877,28
20724459,36
24533349,28
20706304,38
21984732,36
27851190,38
25408796,38
25416318,38
25106906,38
20214628,5
24002973,36
24568212,28
23967965,36
20138063,38
25439664,8
28046363,38
27725314,38
25020811,36
24169212,38
24648312,38
22335958,8
24997917,26
27821257,26
22807222,38
20373568,38
25319145,18
23264345,8
20568081,38
23938669,38
24866577,38
22117020,36
22589814,28
25692436,5
20302437,36
20103092,28
21515299,8
22462878,8
25049982,38
24921694,36
20659314,38
24125518,38
27411208,38
20862897,36
24796591,36
25513490,36
25638640,28
25321919,38
23603263,36
25838893,38
24818719,36
22610409,36
23231634,38
23431709,28
27527251,10
23184282,38
25823281,38
24701428,36
24080694,8
27791036,38
27382330,36
23676011,38
25576789,8
25252282,38
23412587,10
21292607,8
27554475,36
24202464,36
20127580,36
22555065,18
27458781,26
22087574,26
24266717,18
28056625,38
22924745,5
23710783,8
22943081,36
25316622,36
25484347,38
23830780,38
22284327,38
25495701,18
27991166,36
27440731,28
20219567,36
27553123,43
27716695,38
24612373,8
22152811,36
26165138,38
25962803,36
23476746,36
24795522,36
23686815,38
26029686,36
23273725,38
23769683,10
20743311,36
22699603,38
22886106,36
27559991,36
26026315,38
24923604,36
21082240,36
24191910,36
23673291,38
25572021,28
20849657,38
27699843,26
20066631,0
20176632,8
27342388,38
27892129,18
24839147,18
25545491,36
25684116,38
24483443,8
27507906,38
24921713,38
23003600,8
20910452,8
23625313,36
24051836,18
26164173,36
23767756,10
21078337,38
26094906,8
22344693,38
20292831,38
24879711,38
24868278,38
22828150,18
24160387,18
24064920,38
23754864,38
23410562,38
24289280,38
27328099,28
28006923,38
20042350,38
20099807,18
20522488,10
22075234,10
23184672,18
24571518,5
27729018,38
24568929,36
20122911,36
20113092,36
20440437,8
26236004,33
23616420,8
22006217,38
22558899,38
24899709,38
24951529,36
23768379,10
23238338,38
24742822,38
25177266,28
24508045,28
24709461,38
22243427,36
23216231,36
22228268,18
20066540,8
25093379,28
26175878,10
22586899,38
23852245,38
23150837,36
24665502,18
20653269,5
22888846,10
24339137,8
21139964,26
20170037,36
20306527,38
27194006,38
21927401,18
26169561,36
21537440,36
24780213,28
21029873,36
20152058,36
23412596,10
23767579,10
22783309,36
23425605,38
24157275,38
20078803,36
21268594,8
25344645,38
20129356,36
24339852,38
25455094,28
21878276,38
27836088,36
23390998,18
27506616,36
25124491,36
24083228,18
22428072,38
24535667,38
23769670,10
20435861,38
23053666,38
20326392,8
22564336,38
22561528,36
24263614,36
27571255,41
25429192,36
22512087,8
25554598,38
20170106,28
25730752,5
25976791,36
24732026,38
23197148,38
25006561,41
20420993,38
23648849,36
21119094,38
23877848,18
21326675,8
23196887,28
22790561,38
20913782,36
25325375,38
22228181,10
22266166,8
24849204,38
25379647,38
25883336,47
22707309,38
24061813,28
23661971,36
22034585,36
23419047,38
22815953,36
22851547,36
26057126,38
23580740,38
24089451,36
26018994,38
27277547,36
27805212,28
23173810,36
23453520,38
27989244,43
27402822,38
22122772,28
22148356,18
20274452,36
23618524,36
25487413,36
22524900,28
24639784,8
27802563,38
27415778,36
24639954,31
26181117,36
21221730,0
24790722,36
23282957,38
21523556,36
20603321,36
22515066,18
25612168,36
24820039,28
27798552,36
23863846,10
23752007,36
23486258,38
20731318,38
27303241,38
23013229,8
24249632,38
23768971,10
24044138,10
24301122,38
27302877,36
20157532,38
20637755,38
23370142,36
22499358,10
24766755,36
23094670,18
24852867,36
28025852,36
23877045,36
25439221,36
22064834,36
24017958,38
23331947,8
22518901,36
21864280,28
27906089,5
24620354,38
20250076,38
23703568,36
23721053,36
22236863,36
20016351,38
27453161,10
25282377,36
25394089,38
23097833,28
23483522,37
22972991,38
24024892,10
27722738,38
20013503,28
27278463,8
20150604,38
20441355,36
25285775,38
23455067,10
20389517,36
23504693,28
25316279,10
27492890,28
27668680,38
23869950,26
23426810,38
20339611,38
22411977,36
23845253,36
22268558,28
24355117,38
25611456,38
27354340,36
23285957,10
24345440,10
20721383,38
25097172,38
23200210,28
22583628,41
22440044,36
22557867,38
21023060,38
23191050,36
23042655,38
20670162,26
25630983,36
21265918,8
20383055,38
24584979,36
20750013,36
23999633,41
23387452,36
21733325,8
22678224,36
24236504,36
20024239,36
22141656,8
27598339,18
23750316,38
25670282,38
27355837,28
27135420,28
26135600,36
20743280,38
27419167,10
22995294,36
24506326,38
25010668,38
26003733,26
27678259,8
27786380,38
25724722,38
20639244,8
23114205,36
25347576,38
22657338,38
23502643,36
23678949,18
22687264,36
24398694,15
22568833,38
22736298,5
23455063,38
21940532,36
24743749,5
20231100,0
23765655,10
22656654,28
24772620,36
22629218,36
26220733,38
23250569,18
23325743,36
25789392,28
24132770,36
27645620,8
23183686,36
22499697,36
22923635,38
21518154,38
28050798,36
22919880,28
20200431,41
27845006,38
24167125,8
21510900,36
20270053,38
23703854,8
23242274,38
25707673,36
24317611,38
27802039,18
25642043,26
27472689,38
22553745,18
20085031,38
20520642,36
22611502,38
24953251,38
20955043,38
20364711,38
20748328,26
22238732,0
20838152,36
21427465,36
25304564,36
23466146,38
20405117,36
25093316,36
20841391,0
20776224,38
27506021,38
27518759,8
24186028,8
23005904,18
22018947,36
22958341,38
22904365,18
27179866,36
22712435,8
27903000,36
27452833,18
22964423,36
22879996,8
20462790,36
25362341,38
27980653,36
24754880,38
27272665,8
27575233,38
20440690,28
25766601,36
24753476,38
20417570,36
21060345,36
24937388,36
24128654,36
24567079,10
20480183,38
22102346,38
23831016,36
24141214,38
24040638,28
24174904,24
27183222,10
24921632,36
23768057,10
27949435,18
24268723,28
22178118,38
21333819,38
27311055,38
24098255,38
21410341,38
22265488,8
23134450,38
27652434,38
27852141,0
20593081,38
22760462,36
27946164,36
24088541,36
25462307,38
20579120,38
20863249,14
22446739,38
27934655,38
23292542,8
25753621,18
24905233,38
23477382,26
24982343,38
20080315,38
21023690,28
22852447,38
23843772,36
22919225,26
20137127,38
25648237,36
23121653,38
25920113,38
27982045,38
23180377,36
25779703,38
22959829,38
24207478,8
22434698,38
20155509,36
23072449,38
20146138,38
27417294,38
27684870,18
20197138,38
26229405,18
25080125,28
23537698,28
20775799,36
23239359,38
25609436,28
20094999,28
23676948,0
27747763,38
24276909,28
20420759,38
24097262,38
23375744,38
23644895,38
26249802,36
25488491,14
20434860,5
23771076,36
20568536,8
22739054,38
23785705,8
20369085,8
25447646,38
21939662,38
23870084,38
23664146,28
23510789,26
25995446,38
20511552,28
24217515,28
24475868,8
20640919,38
22957504,8
25710132,10
22858998,8
24202124,24
27997723,18
21875833,38
23586849,38
20555167,38
24890991,26
24451881,38
23216746,36
25006674,38
22629541,38
21276402,36
24676601,18
20488747,36
22566209,28
25734487,38
22738367,38
22138781,38
24157744,38
23500407,18
25049934,38
20131379,38
25787686,28
20698665,18
22953010,38
27305009,38
21352585,18
20752058,38
25808561,8
23222986,26
22669254,28
26252358,36
23786960,10
26069076,38
26166410,38
24117927,28
24967482,38
24665798,28
24645914,38
25058904,36
24273098,38
23428308,8
24323133,38
20546060,10
26075613,18
23499976,36
23333828,38
23278914,18
22631085,8
20887834,8
23175873,38
23724112,38
25231924,36
24530926,8
25175884,38
26111371,38
20710864,38
21940088,36
24166588,38
24610369,38
24441949,38
23307666,38
26038703,36
23790037,38
25544537,0
23756855,28
23451272,38
23053914,36
24308989,38
23362262,36
25866021,36
21282241,38
27131560,8
25810478,28
20106917,38
23606978,38
24490032,36
25552129,38
21075548,28
25312560,38
20251291,36
22455630,38
22647545,38
23539369,28
20593959,5
21898216,38
26112364,18
20126051,36
20615637,28
25954204,36
25994421,36
25183500,36
20099220,38
27501303,36
25333418,8
22920588,5
24796105,36
23029721,38
24291149,28
24267848,38
22979197,38
20372522,36
22201206,28
21176615,36
20015570,36
23784910,5
25551365,36
24145469,38
23305689,36
21861360,18
24776668,36
25548476,41
20535417,38
27730596,36
23312063,38
24283053,36
25721457,36
27435653,38
24955714,8
27934143,38
25944074,18
20875941,18
21969364,38
27952806,10
26056038,38
27257797,8
20021313,36
21939358,36
22650350,38
27560667,36
20481091,28
22843616,38
22143810,8
26089784,36
23127498,28
27334235,40
