size,count,ars,homogeneity,completeness,v_measure
20000,222,0.307897956643821,0.9559089565483413,0.49862325133163127,0.6553838124848081
19500,230,0.2902329426331052,0.9461890227794952,0.48807180446451354,0.6439668084638223
19000,221,0.2927328691178398,0.9470568692531789,0.4900742674389284,0.6459093252833642
18500,216,0.3020391748629773,0.9441427881707353,0.4960226638704679,0.6503644705527077
18000,209,0.28063272672670825,0.9430283076326915,0.4893874112599214,0.6443746408674903
17500,195,0.28630651992864725,0.9441860342585998,0.4959540987214355,0.6503157893074034
17000,194,0.2869179810783653,0.9382772398653959,0.494205281107675,0.6474097384024254
16500,193,0.2762529845436597,0.9368058623260024,0.4898542364063485,0.6433183640005713
16000,191,0.2820939470577363,0.9375375144322282,0.4928054084404972,0.6460318715740232
15500,196,0.274209349189287,0.935005861559874,0.48831811081451276,0.6415690380816772
15000,184,0.2887674491033389,0.939427437774062,0.4985243946988191,0.6513813386563617
14500,192,0.26063138222812465,0.9338653932300041,0.4819206161469935,0.6357584871202357
14000,188,0.26360831272145174,0.9322606660061892,0.4833869753054026,0.6366593640765204
13500,177,0.28493557614491677,0.9325418096059684,0.49790126114224126,0.649188706024931
13000,173,0.27878780949124093,0.9172186949462511,0.49000218196871353,0.6387613618289399
12500,167,0.2956107032872449,0.9321408911156095,0.5034834993556134,0.6538166401551596
12000,153,0.2937892911657478,0.9302253692200481,0.5090803125267848,0.6580387025334938
11500,154,0.2974837534330815,0.933066625973672,0.5092496719379536,0.658889972832381
11000,146,0.2936781617230909,0.9344214148003696,0.5110300689036305,0.6607173542301291
10500,138,0.31347314811564475,0.9295902362917786,0.5162652354947914,0.6638493703106122
10000,131,0.31174743225930696,0.9313224078048984,0.5177051250522656,0.6654813282200613
9500,125,0.2948768321748932,0.9229624691084365,0.5131333347326206,0.6595699372422681
9000,124,0.28806408659093746,0.9235796607604914,0.5136336716136094,0.6601408454796931
8500,123,0.2983650188466032,0.9286001191086574,0.5157911262319763,0.6632049353653439
8000,117,0.3029195019213135,0.9329196450367567,0.5196317467378244,0.6674802247433491
7500,107,0.32156813714137605,0.9368816769441063,0.5351753118396418,0.681218115107996
7000,107,0.3337457867375231,0.926351932238429,0.5357225749863282,0.6788541076806329
6500,102,0.33628402288488507,0.9245812454333997,0.5409692939109132,0.6825695192049194
6000,97,0.3291277568939057,0.9517411991349135,0.5496225193691672,0.6968310066492946
5500,85,0.3620957178152505,0.9501328155633628,0.5715163660627173,0.7137209556376556
5000,76,0.3795460594721724,0.9392143064817599,0.5799640412765478,0.7171120173160496
4500,72,0.36710571561073146,0.9360239969717186,0.5861250409154952,0.7208585885708589
4000,65,0.376764175103516,0.9411754625152605,0.5954876967621288,0.7294486173349758
3500,64,0.36198551205616114,0.9506795312061405,0.5898680060634919,0.7280209482815748
3000,55,0.3950473183049003,0.9436654253329092,0.61125078086044,0.7419258038577735
2500,52,0.386536384908738,0.9602050725387129,0.6213705640100565,0.7544921073653618
2000,42,0.3967936487049587,0.9240550009652676,0.6323198561797964,0.7508452383822072
1500,28,0.4458987728631555,0.927680268424722,0.6908439067601412,0.7919341220709684
1000,20,0.4595166815839017,0.8844977170490187,0.7292119894580575,0.7993833554072344
