id,label
26102936,3
22882521,5
25078281,15
21860884,3
24295725,3
22562317,12
25976542,5
23422548,3
21839186,15
22592131,0
26179040,13
21272525,15
24075526,13
20015215,3
23024945,15
23018023,13
22597558,12
23435195,3
22960999,15
23643544,7
23672114,5
27321612,4
25222596,8
25577675,15
22309328,15
27288696,5
24171349,3
20235707,13
22250095,12
22042696,15
22018778,5
21863278,15
23273766,15
24048629,15
27546777,2
22650515,5
24257686,15
20163727,10
23222699,15
23097730,5
23767435,3
22939325,15
20346392,5
22433054,15
21836447,5
25627817,13
23595221,3
26237742,3
27981806,15
24548469,15
25122487,15
22377571,10
22842734,13
22432086,15
23263731,15
26153052,3
23537621,5
24980164,15
26232037,7
23036132,3
23731047,5
21527088,0
26255636,15
20002343,12
22995725,5
27247534,15
22590249,4
22765990,16
27650392,7
25584560,3
26148622,3
25412467,3
23062503,3
22903696,3
26113628,5
21985586,5
22688171,3
24104799,1
23335984,15
21081441,5
24943426,5
27468341,3
20471187,7
25176613,3
25254278,15
24753010,2
22247223,2
24821090,3
24969521,12
23093823,15
24445485,15
24437313,5
22508158,1
26254425,3
25270779,5
24641213,5
27400496,12
27513160,5
23112697,5
20517248,15
28007051,3
23220177,12
25532770,15
20464144,12
23586788,5
25910457,15
20308303,3
25550651,12
21888597,15
23529894,3
27574163,15
23006308,5
23096942,5
22200378,15
25460505,5
23099755,5
20483492,15
22219072,5
23607133,16
25571414,5
23141962,3
26217892,3
23808589,15
25898266,5
22628730,5
20131611,7
27817774,1
22913189,15
22025652,5
20109329,12
22479907,1
22291847,3
22682313,15
24563528,0
25013682,15
25396913,3
22355069,15
21843067,12
26032235,3
25249713,6
25471338,5
20167736,12
24168065,3
20382298,5
22388748,5
22059442,15
27563879,3
24760873,5
24050677,15
20530826,5
27291537,5
23946824,15
25853318,5
21322840,5
22212549,2
23007773,10
20209958,15
23066051,0
23099157,5
23203446,15
20254950,16
20347776,15
23738571,15
21853455,15
20232743,3
26132455,12
25004925,2
25891651,5
27197549,5
24540565,5
20128209,3
24725327,5
22313430,16
23533489,3
22796475,0
27190280,15
23375357,5
24387463,5
22377196,15
27702459,12
23718463,15
22794811,12
23221327,15
27932198,15
27918220,3
27222764,5
23507910,5
27761571,15
25046906,15
23871449,10
22630192,1
25516429,5
22178522,15
20307589,15
24239020,5
23273316,5
20090498,5
27772241,13
25374561,5
25300156,15
24360651,3
27712608,12
22388549,5
24153505,10
27512462,15
20088667,15
24256693,5
23606468,15
21419421,2
25156235,15
22581890,5
24456180,6
23891959,5
21726525,5
27747611,2
